NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
Abbey Road,539077,183399,n/a,DLR,3,0.005308217,51.5318653
Acton Central,520632,180296,n/a,London Overground,3,-0.261566477,51.50821824
Acton Town,519478,179592,"District, Piccadilly",London Underground,3,-0.278432824,51.50213702
Addington Village,537066,163744,n/a,Tramlink,6,-0.031284121,51.35570988
Addiscombe,534188,166297,n/a,Tramlink,5,-0.07162576,51.37934189
Aldgate,533613,181262,"Metropolitan, Circle",London Underground,1,-0.0742363,51.51398203
Aldgate East,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653
All Saints,537979,180993,n/a,DLR,2,-0.011456278,51.51051157
Alperton,517996,183795,Piccadilly,London Underground,4,-0.298361133,51.54022715
Amersham,496372,198181,Metropolitan,London Underground,9,-0.606146762,51.67366188
Ampere Way,530664,166485,n/a,Tramlink,4,-0.122172554,51.3818536
Anerley,534617,169899,n/a,London Overground,4,-0.06410424,51.411617
Angel,531561,183100,Northern,London Underground,1,-0.103116359,51.5309796
Archway,529364,186721,Northern,London Underground,2,-0.13344404,51.56403452
Arena,535194,167627,n/a,Tramlink,4,-0.056679487,51.39105665
Arnos Grove,529355,192498,Piccadilly,London Underground,4,-0.131434823,51.61595478
Arsenal,531305,186112,Piccadilly,London Underground,2,-0.105674399,51.55811105
Avenue Road,535745,169322,n/a,Tramlink,4,-0.048118188,51.40615963
Baker Street,527955,182064,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",London Underground,1,-0.155454387,51.52249387
Balham,528480,173244,Northern,London Underground,3,-0.151090206,51.44310998
Bank,532710,181120,"Waterloo & City, Northern, Central",London Underground,1,-0.08729695,51.51291511
BANK - DLR,532709,181114,n/a,DLR,1,-0.087316571,51.51286207
Barbican,532004,181856,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.097189673,51.51969921
Barking,544359,184382,"District, Hammersmith & City",London Underground,4,0.081813552,51.53937511
Barking,544422,184332,n/a,London Overground,4,0.082703641,51.53890805
Barkingside,544799,189494,Central,London Underground,4,0.090259547,51.58519895
Barons Court,524046,178328,"District, Piccadilly",London Underground,2,-0.213088174,51.48978737
Bayswater,525843,180823,"District, Circle",London Underground,1,-0.186322701,51.51181507
Beckenham Junction (Tramlink),537365,169843,n/a,Tramlink,4,-0.024636241,51.41045194
Beckenham Road,536190,169660,n/a,Tramlink,4,-0.04159356,51.40909636
Beckton,543165,181514,n/a,DLR,3,0.063442568,51.51390419
Beckton Park,542705,180873,n/a,DLR,3,0.056557435,51.50826026
Becontree,547628,184527,District,London Underground,5,0.128978641,51.53983401
Beddington Lane,529316,167236,n/a,Tramlink,4,-0.141260885,51.38891199
Belgrave Walk,526809,168456,n/a,Tramlink,4,-0.176840028,51.40044481
